year,asylum_iso3,origin_iso3,country_asylum,country_origin,refugees_in,asylum_seekers_in,total_displaced_in,idps,stateless
2021,CRI,ROU,Costa Rica,Romania,0,5,5,0,0
2021,CRI,ZAF,Costa Rica,South Africa,0,6,6,0,0
2021,CRI,RUS,Costa Rica,Russian Federation,27,24,51,0,0
2021,CRI,SLV,Costa Rica,El Salvador,1529,53,1582,0,0
2021,CRI,SEN,Costa Rica,Senegal,0,5,5,0,0
2021,CRI,SOM,Costa Rica,Somalia,7,7,14,0,0
2021,CRI,ESP,Costa Rica,Spain,0,9,9,0,0
2021,CRI,XXA,Costa Rica,Stateless,0,0,0,0,168
2021,CRI,SYR,Costa Rica,Syrian Arab Rep.,5,25,30,0,0
2021,CRI,TUR,Costa Rica,Türkiye,0,5,5,0,0
2021,CRI,UKR,Costa Rica,Ukraine,13,5,18,0,0
2021,CRI,URY,Costa Rica,Uruguay,0,5,5,0,0
2021,CRI,USA,Costa Rica,United States of America,5,39,44,0,0
2021,CRI,VEN,Costa Rica,Venezuela,1492,7288,8780,0,0
2021,CRI,ZWE,Costa Rica,Zimbabwe,0,5,5,0,0
2024,CRI,AGO,Costa Rica,Angola,0,47,47,0,0
2024,CRI,ARG,Costa Rica,Argentina,0,82,82,0,0
2024,CRI,AUS,Costa Rica,Australia,0,5,5,0,0
2024,CRI,BGD,Costa Rica,Bangladesh,0,6,6,0,0
2024,CRI,BLR,Costa Rica,Belarus,5,5,10,0,0
2024,CRI,BOL,Costa Rica,Bolivia (Plurinational State of),8,27,35,0,0
2024,CRI,BRA,Costa Rica,Brazil,0,155,155,0,0
2024,CRI,BGR,Costa Rica,Bulgaria,7,5,12,0,0
2024,CRI,BLZ,Costa Rica,Belize,0,5,5,0,0
2024,CRI,CAN,Costa Rica,Canada,0,8,8,0,0
2024,CRI,CHN,Costa Rica,China,0,587,587,0,0
2024,CRI,CHL,Costa Rica,Chile,0,62,62,0,0
2024,CRI,CMR,Costa Rica,Cameroon,5,18,23,0,0
2024,CRI,COG,Costa Rica,Congo,5,22,27,0,0
2024,CRI,COD,Costa Rica,Dem. Rep. of the Congo,11,51,62,0,0
2024,CRI,COM,Costa Rica,Comoros,5,0,5,0,0
2024,CRI,COL,Costa Rica,Colombia,7190,4490,11680,0,0
2024,CRI,CRI,Costa Rica,Costa Rica,0,0,0,0,0
2024,CRI,CUB,Costa Rica,Cuba,1516,6744,8260,0,0
2024,CRI,CPV,Costa Rica,Cabo Verde,0,5,5,0,0
2024,CRI,CZE,Costa Rica,Czechia,0,5,5,0,0
2024,CRI,DOM,Costa Rica,Dominican Republic,5,189,194,0,0
2024,CRI,ECU,Costa Rica,Ecuador,0,187,187,0,0
2024,CRI,ERI,Costa Rica,Eritrea,5,5,10,0,0
2024,CRI,GUF,Costa Rica,French Guiana,0,6,6,0,0
2024,CRI,GMB,Costa Rica,Gambia,0,5,5,0,0
2024,CRI,PSE,Costa Rica,State of Palestine,0,5,5,0,0
2024,CRI,GBR,Costa Rica,United Kingdom of Great Britain and Northern Ireland,0,5,5,0,0
2024,CRI,GEO,Costa Rica,Georgia,8,0,8,0,0
2024,CRI,DEU,Costa Rica,Germany,0,6,6,0,0
2024,CRI,GHA,Costa Rica,Ghana,5,46,51,0,0
2024,CRI,GTM,Costa Rica,Guatemala,49,169,218,0,0
2024,CRI,GIN,Costa Rica,Guinea,0,22,22,0,0
2024,CRI,GUY,Costa Rica,Guyana,0,5,5,0,0
2024,CRI,HTI,Costa Rica,Haiti,30,815,845,0,0
2024,CRI,HND,Costa Rica,Honduras,226,1150,1376,0,0
2024,CRI,CIV,Costa Rica,Cote d'Ivoire,0,6,6,0,0
2024,CRI,IND,Costa Rica,India,5,11,16,0,0
2024,CRI,IRN,Costa Rica,Iran (Islamic Rep. of),6,7,13,0,0
2024,CRI,IRQ,Costa Rica,Iraq,6,0,6,0,0
2024,CRI,ISR,Costa Rica,Israel,10,5,15,0,0
2024,CRI,ITA,Costa Rica,Italy,5,17,22,0,0
2024,CRI,JAM,Costa Rica,Jamaica,0,58,58,0,0
2024,CRI,JOR,Costa Rica,Jordan,0,6,6,0,0
2024,CRI,KAZ,Costa Rica,Kazakhstan,0,6,6,0,0
2024,CRI,MEX,Costa Rica,Mexico,13,108,121,0,0
2024,CRI,MAR,Costa Rica,Morocco,0,5,5,0,0
2024,CRI,NAM,Costa Rica,Namibia,0,14,14,0,0
2024,CRI,NPL,Costa Rica,Nepal,0,89,89,0,0
2024,CRI,NIC,Costa Rica,Nicaragua,15327,190037,205364,0,0
2024,CRI,NGA,Costa Rica,Nigeria,14,19,33,0,0
2024,CRI,PAK,Costa Rica,Pakistan,0,5,5,0,0
2024,CRI,PAN,Costa Rica,Panama,15,126,141,0,0
2024,CRI,PRY,Costa Rica,Paraguay,0,5,5,0,0
2024,CRI,PER,Costa Rica,Peru,69,140,209,0,0
2024,CRI,PHL,Costa Rica,Philippines,0,19,19,0,0
2024,CRI,POL,Costa Rica,Poland,0,5,5,0,0
2024,CRI,PRT,Costa Rica,Portugal,0,5,5,0,0
2024,CRI,ROU,Costa Rica,Romania,0,10,10,0,0
2024,CRI,ZAF,Costa Rica,South Africa,0,14,14,0,0
2024,CRI,RUS,Costa Rica,Russian Federation,38,402,440,0,0
2024,CRI,SLV,Costa Rica,El Salvador,1370,1153,2523,0,0
2024,CRI,SEN,Costa Rica,Senegal,0,6,6,0,0
2024,CRI,SOM,Costa Rica,Somalia,11,0,11,0,0
2024,CRI,ESP,Costa Rica,Spain,0,8,8,0,0
2024,CRI,VNM,Costa Rica,Viet Nam,0,7,7,0,0
2024,CRI,XXA,Costa Rica,Stateless,8,64,72,0,345
2024,CRI,SYR,Costa Rica,Syrian Arab Rep.,6,39,45,0,0
2024,CRI,TUR,Costa Rica,Türkiye,0,8,8,0,0
2024,CRI,UNK,Costa Rica,Unknown ,12,0,12,0,0
2024,CRI,UKR,Costa Rica,Ukraine,35,18,53,0,0
2024,CRI,URY,Costa Rica,Uruguay,0,5,5,0,0
2024,CRI,USA,Costa Rica,United States of America,12,42,54,0,0
2024,CRI,UZB,Costa Rica,Uzbekistan,5,0,5,0,0
2024,CRI,VEN,Costa Rica,Venezuela,5585,10476,16061,0,0
2023,CRI,AGO,Costa Rica,Angola,0,61,61,0,0
2023,CRI,EGY,Costa Rica,Egypt,5,0,5,0,0
2023,CRI,ARG,Costa Rica,Argentina,0,74,74,0,0
2023,CRI,AUS,Costa Rica,Australia,0,6,6,0,0
2023,CRI,BDI,Costa Rica,Burundi,9,0,9,0,0
2023,CRI,BGD,Costa Rica,Bangladesh,0,16,16,0,0
2023,CRI,BFA,Costa Rica,Burkina Faso,0,5,5,0,0
2023,CRI,BLR,Costa Rica,Belarus,0,5,5,0,0
2023,CRI,BOL,Costa Rica,Bolivia (Plurinational State of),0,22,22,0,0
2023,CRI,BRA,Costa Rica,Brazil,0,170,170,0,0
2023,CRI,BGR,Costa Rica,Bulgaria,0,5,5,0,0
2023,CRI,BLZ,Costa Rica,Belize,0,5,5,0,0
2023,CRI,CAN,Costa Rica,Canada,0,9,9,0,0
2023,CRI,CHN,Costa Rica,China,0,364,364,0,0
2023,CRI,CHL,Costa Rica,Chile,5,65,70,0,0
2023,CRI,CMR,Costa Rica,Cameroon,0,25,25,0,0
2023,CRI,COG,Costa Rica,Congo,0,57,57,0,0
2023,CRI,COD,Costa Rica,Dem. Rep. of the Congo,12,64,76,0,0
2023,CRI,COL,Costa Rica,Colombia,2292,2998,5290,0,0
2023,CRI,CRI,Costa Rica,Costa Rica,0,0,0,0,0
2023,CRI,CUB,Costa Rica,Cuba,962,5893,6855,0,0
2023,CRI,CZE,Costa Rica,Czechia,0,5,5,0,0
2023,CRI,DOM,Costa Rica,Dominican Republic,0,184,184,0,0
2023,CRI,ECU,Costa Rica,Ecuador,0,162,162,0,0
2023,CRI,ERI,Costa Rica,Eritrea,0,7,7,0,0
2023,CRI,GMB,Costa Rica,Gambia,0,5,5,0,0
2023,CRI,GBR,Costa Rica,United Kingdom of Great Britain and Northern Ireland,0,5,5,0,0
2023,CRI,DEU,Costa Rica,Germany,0,8,8,0,0
2023,CRI,GHA,Costa Rica,Ghana,0,60,60,0,0
2023,CRI,GRC,Costa Rica,Greece,0,5,5,0,0
2023,CRI,GTM,Costa Rica,Guatemala,24,153,177,0,0
2023,CRI,GUY,Costa Rica,Guyana,0,11,11,0,0
2023,CRI,HTI,Costa Rica,Haiti,16,871,887,0,0
2023,CRI,HND,Costa Rica,Honduras,252,1172,1424,0,0
2023,CRI,CIV,Costa Rica,Cote d'Ivoire,0,7,7,0,0
2023,CRI,IND,Costa Rica,India,0,10,10,0,0
2023,CRI,IDN,Costa Rica,Indonesia,5,0,5,0,0
2023,CRI,IRN,Costa Rica,Iran (Islamic Rep. of),5,5,10,0,0
2023,CRI,IRQ,Costa Rica,Iraq,5,5,10,0,0
2023,CRI,ISR,Costa Rica,Israel,0,6,6,0,0
2023,CRI,ITA,Costa Rica,Italy,0,18,18,0,0
2023,CRI,JAM,Costa Rica,Jamaica,0,53,53,0,0
2023,CRI,JOR,Costa Rica,Jordan,0,5,5,0,0
2023,CRI,KAZ,Costa Rica,Kazakhstan,0,5,5,0,0
2023,CRI,LBN,Costa Rica,Lebanon,0,5,5,0,0
2023,CRI,LVA,Costa Rica,Latvia,0,5,5,0,0
2023,CRI,MEX,Costa Rica,Mexico,13,92,105,0,0
2023,CRI,MAR,Costa Rica,Morocco,0,5,5,0,0
2023,CRI,NAM,Costa Rica,Namibia,0,5,5,0,0
2023,CRI,NPL,Costa Rica,Nepal,0,113,113,0,0
2023,CRI,NER,Costa Rica,Niger,0,5,5,0,0
2023,CRI,NIC,Costa Rica,Nicaragua,13326,171169,184495,0,0
2023,CRI,NGA,Costa Rica,Nigeria,17,7,24,0,0
2023,CRI,PAK,Costa Rica,Pakistan,5,9,14,0,0
2023,CRI,PAN,Costa Rica,Panama,6,105,111,0,0
2023,CRI,PRY,Costa Rica,Paraguay,0,5,5,0,0
2023,CRI,PER,Costa Rica,Peru,13,112,125,0,0
2023,CRI,PHL,Costa Rica,Philippines,0,5,5,0,0
2023,CRI,POL,Costa Rica,Poland,0,10,10,0,0
2023,CRI,PRT,Costa Rica,Portugal,0,5,5,0,0
2023,CRI,ROU,Costa Rica,Romania,0,8,8,0,0
2023,CRI,ZAF,Costa Rica,South Africa,0,11,11,0,0
2023,CRI,RUS,Costa Rica,Russian Federation,27,395,422,0,0
2023,CRI,SLV,Costa Rica,El Salvador,1638,84,1722,0,0
2023,CRI,SEN,Costa Rica,Senegal,0,5,5,0,0
2023,CRI,SOM,Costa Rica,Somalia,7,5,12,0,0
2023,CRI,ESP,Costa Rica,Spain,0,9,9,0,0
2023,CRI,VNM,Costa Rica,Viet Nam,0,7,7,0,0
2023,CRI,XXA,Costa Rica,Stateless,0,15,15,0,327
2023,CRI,SYR,Costa Rica,Syrian Arab Rep.,6,35,41,0,0
2023,CRI,TUR,Costa Rica,Türkiye,0,8,8,0,0
2023,CRI,UNK,Costa Rica,Unknown ,0,0,0,0,0
2023,CRI,UKR,Costa Rica,Ukraine,13,44,57,0,0
2023,CRI,URY,Costa Rica,Uruguay,0,6,6,0,0
2023,CRI,USA,Costa Rica,United States of America,7,44,51,0,0
2023,CRI,VEN,Costa Rica,Venezuela,4752,8774,13526,0,0
2023,CRI,ZWE,Costa Rica,Zimbabwe,0,5,5,0,0
2022,CRI,AGO,Costa Rica,Angola,0,64,64,0,0
2022,CRI,EGY,Costa Rica,Egypt,5,0,5,0,0
2022,CRI,ARG,Costa Rica,Argentina,0,77,77,0,0
2022,CRI,AUS,Costa Rica,Australia,0,6,6,0,0
2022,CRI,BDI,Costa Rica,Burundi,9,0,9,0,0
2022,CRI,BGD,Costa Rica,Bangladesh,0,16,16,0,0
2022,CRI,BFA,Costa Rica,Burkina Faso,0,5,5,0,0
2022,CRI,BLR,Costa Rica,Belarus,0,5,5,0,0
2022,CRI,BOL,Costa Rica,Bolivia (Plurinational State of),0,21,21,0,0
2022,CRI,BRA,Costa Rica,Brazil,0,167,167,0,0
2022,CRI,BLZ,Costa Rica,Belize,0,5,5,0,0
2022,CRI,CAN,Costa Rica,Canada,0,7,7,0,0
2022,CRI,CHN,Costa Rica,China,0,373,373,0,0
2022,CRI,CHL,Costa Rica,Chile,0,64,64,0,0
2022,CRI,CMR,Costa Rica,Cameroon,0,22,22,0,0
2022,CRI,COG,Costa Rica,Congo,0,57,57,0,0
2022,CRI,COD,Costa Rica,Dem. Rep. of the Congo,12,65,77,0,0
2022,CRI,COL,Costa Rica,Colombia,2304,2555,4859,0,0
2022,CRI,CRI,Costa Rica,Costa Rica,0,0,0,0,0
2022,CRI,CUB,Costa Rica,Cuba,648,3563,4211,0,0
2022,CRI,CZE,Costa Rica,Czechia,0,5,5,0,0
2022,CRI,DOM,Costa Rica,Dominican Republic,0,175,175,0,0
2022,CRI,ECU,Costa Rica,Ecuador,0,131,131,0,0
2022,CRI,ERI,Costa Rica,Eritrea,0,7,7,0,0
2022,CRI,ETH,Costa Rica,Ethiopia,5,0,5,0,0
2022,CRI,GUF,Costa Rica,French Guiana,0,5,5,0,0
2022,CRI,GMB,Costa Rica,Gambia,0,5,5,0,0
2022,CRI,GBR,Costa Rica,United Kingdom of Great Britain and Northern Ireland,0,5,5,0,0
2022,CRI,DEU,Costa Rica,Germany,0,14,14,0,0
2022,CRI,GHA,Costa Rica,Ghana,0,61,61,0,0
2022,CRI,GRC,Costa Rica,Greece,0,5,5,0,0
2022,CRI,GTM,Costa Rica,Guatemala,24,141,165,0,0
2022,CRI,GUY,Costa Rica,Guyana,0,11,11,0,0
2022,CRI,HTI,Costa Rica,Haiti,13,886,899,0,0
2022,CRI,HND,Costa Rica,Honduras,229,1199,1428,0,0
2022,CRI,CIV,Costa Rica,Cote d'Ivoire,0,6,6,0,0
2022,CRI,IND,Costa Rica,India,0,12,12,0,0
2022,CRI,IDN,Costa Rica,Indonesia,5,0,5,0,0
2022,CRI,IRN,Costa Rica,Iran (Islamic Rep. of),5,5,10,0,0
2022,CRI,IRQ,Costa Rica,Iraq,5,5,10,0,0
2022,CRI,ISR,Costa Rica,Israel,0,6,6,0,0
2022,CRI,ITA,Costa Rica,Italy,0,13,13,0,0
2022,CRI,JAM,Costa Rica,Jamaica,0,53,53,0,0
2022,CRI,KAZ,Costa Rica,Kazakhstan,0,5,5,0,0
2022,CRI,LBN,Costa Rica,Lebanon,0,5,5,0,0
2022,CRI,LVA,Costa Rica,Latvia,0,5,5,0,0
2022,CRI,MEX,Costa Rica,Mexico,13,93,106,0,0
2022,CRI,NAM,Costa Rica,Namibia,0,5,5,0,0
2022,CRI,NPL,Costa Rica,Nepal,0,102,102,0,0
2022,CRI,NER,Costa Rica,Niger,0,5,5,0,0
2022,CRI,NIC,Costa Rica,Nicaragua,7083,217125,224208,0,0
2022,CRI,NGA,Costa Rica,Nigeria,17,7,24,0,0
2022,CRI,PAK,Costa Rica,Pakistan,5,12,17,0,0
2022,CRI,PAN,Costa Rica,Panama,6,99,105,0,0
2022,CRI,PRY,Costa Rica,Paraguay,0,5,5,0,0
2022,CRI,PER,Costa Rica,Peru,13,90,103,0,0
2022,CRI,PHL,Costa Rica,Philippines,0,5,5,0,0
2022,CRI,POL,Costa Rica,Poland,0,5,5,0,0
2022,CRI,ROU,Costa Rica,Romania,0,8,8,0,0
2022,CRI,ZAF,Costa Rica,South Africa,0,11,11,0,0
2022,CRI,RUS,Costa Rica,Russian Federation,27,356,383,0,0
2022,CRI,SLV,Costa Rica,El Salvador,1637,188,1825,0,0
2022,CRI,SEN,Costa Rica,Senegal,0,5,5,0,0
2022,CRI,SOM,Costa Rica,Somalia,7,7,14,0,0
2022,CRI,ESP,Costa Rica,Spain,0,11,11,0,0
2022,CRI,VNM,Costa Rica,Viet Nam,0,7,7,0,0
2022,CRI,XXA,Costa Rica,Stateless,0,0,0,0,235
2022,CRI,SYR,Costa Rica,Syrian Arab Rep.,6,34,40,0,0
2022,CRI,TUR,Costa Rica,Türkiye,0,8,8,0,0
2022,CRI,UKR,Costa Rica,Ukraine,13,40,53,0,0
2022,CRI,URY,Costa Rica,Uruguay,0,6,6,0,0
2022,CRI,USA,Costa Rica,United States of America,7,45,52,0,0
2022,CRI,VEN,Costa Rica,Venezuela,1990,11519,13509,0,0
2022,CRI,ZWE,Costa Rica,Zimbabwe,0,5,5,0,0
2019,CUB,AFG,Cuba,Afghanistan,36,0,36,0,0
2019,CUB,ERI,Cuba,Eritrea,14,0,14,0,0
2019,CUB,ETH,Cuba,Ethiopia,6,0,6,0,0
2019,CUB,HTI,Cuba,Haiti,5,0,5,0,0
2019,CUB,IRN,Cuba,Iran (Islamic Rep. of),11,16,27,0,0
2019,CUB,IRQ,Cuba,Iraq,0,6,6,0,0
2019,CUB,SDN,Cuba,Sudan,0,10,10,0,0
2019,CUB,SYR,Cuba,Syrian Arab Rep.,40,0,40,0,0
2019,CUB,ESH,Cuba,Western Sahara,107,0,107,0,0
2019,CUB,YEM,Cuba,Yemen,14,0,14,0,0
2020,CUB,AFG,Cuba,Afghanistan,28,0,28,0,0
2020,CUB,ERI,Cuba,Eritrea,12,0,12,0,0
2020,CUB,ETH,Cuba,Ethiopia,6,0,6,0,0
2020,CUB,HTI,Cuba,Haiti,5,0,5,0,0
2020,CUB,IRN,Cuba,Iran (Islamic Rep. of),11,5,16,0,0
2020,CUB,SDN,Cuba,Sudan,10,0,10,0,0
2020,CUB,SYR,Cuba,Syrian Arab Rep.,40,5,45,0,0
2020,CUB,ESH,Cuba,Western Sahara,95,0,95,0,0
2020,CUB,YEM,Cuba,Yemen,15,0,15,0,0
2021,CUB,AFG,Cuba,Afghanistan,17,0,17,0,0
2021,CUB,CUB,Cuba,Cuba,0,0,0,0,0
2021,CUB,ERI,Cuba,Eritrea,5,0,5,0,0
2021,CUB,ETH,Cuba,Ethiopia,6,0,6,0,0
2021,CUB,HTI,Cuba,Haiti,5,0,5,0,0
2021,CUB,IRN,Cuba,Iran (Islamic Rep. of),7,5,12,0,0
2021,CUB,SDN,Cuba,Sudan,10,0,10,0,0
2021,CUB,SYR,Cuba,Syrian Arab Rep.,36,9,45,0,0
2021,CUB,ESH,Cuba,Western Sahara,99,0,99,0,0
2021,CUB,YEM,Cuba,Yemen,14,0,14,0,0
2024,CUB,AFG,Cuba,Afghanistan,8,0,8,0,0
2024,CUB,AGO,Cuba,Angola,0,10,10,0,0
2024,CUB,CUB,Cuba,Cuba,0,0,0,0,0
2024,CUB,ETH,Cuba,Ethiopia,5,0,5,0,0
2024,CUB,HTI,Cuba,Haiti,6,0,6,0,0
2024,CUB,IRN,Cuba,Iran (Islamic Rep. of),5,0,5,0,0
2024,CUB,RUS,Cuba,Russian Federation,5,5,10,0,0
2024,CUB,SSD,Cuba,South Sudan,0,5,5,0,0
2024,CUB,SDN,Cuba,Sudan,5,13,18,0,0
2024,CUB,SYR,Cuba,Syrian Arab Rep.,32,8,40,0,0
2024,CUB,ESH,Cuba,Western Sahara,59,0,59,0,0
2024,CUB,YEM,Cuba,Yemen,5,0,5,0,0
2023,CUB,AFG,Cuba,Afghanistan,9,0,9,0,0
2023,CUB,AGO,Cuba,Angola,0,10,10,0,0
2023,CUB,CUB,Cuba,Cuba,0,0,0,0,0
2023,CUB,ERI,Cuba,Eritrea,5,0,5,0,0
2023,CUB,ETH,Cuba,Ethiopia,0,5,5,0,0
2023,CUB,PSE,Cuba,State of Palestine,5,0,5,0,0
2023,CUB,HTI,Cuba,Haiti,6,0,6,0,0
2023,CUB,IRN,Cuba,Iran (Islamic Rep. of),9,0,9,0,0
2023,CUB,RUS,Cuba,Russian Federation,0,5,5,0,0
2023,CUB,SDN,Cuba,Sudan,6,0,6,0,0
2023,CUB,SYR,Cuba,Syrian Arab Rep.,29,5,34,0,0
2023,CUB,ESH,Cuba,Western Sahara,61,0,61,0,0
2023,CUB,YEM,Cuba,Yemen,6,0,6,0,0
2022,CUB,AFG,Cuba,Afghanistan,12,0,12,0,0
2022,CUB,ERI,Cuba,Eritrea,5,0,5,0,0
2022,CUB,HTI,Cuba,Haiti,5,0,5,0,0
2022,CUB,IRN,Cuba,Iran (Islamic Rep. of),10,0,10,0,0
2022,CUB,SDN,Cuba,Sudan,7,0,7,0,0
2022,CUB,SYR,Cuba,Syrian Arab Rep.,27,8,35,0,0
2022,CUB,ESH,Cuba,Western Sahara,96,0,96,0,0
2022,CUB,YEM,Cuba,Yemen,12,0,12,0,0
2019,DOM,AFG,Dominican Republic,Afghanistan,0,9,9,0,0
2019,DOM,COL,Dominican Republic,Colombia,0,10,10,0,0
2019,DOM,CUB,Dominican Republic,Cuba,0,32,32,0,0
2019,DOM,HTI,Dominican Republic,Haiti,164,244,408,0,0
2019,DOM,HND,Dominican Republic,Honduras,0,5,5,0,0
2019,DOM,LKA,Dominican Republic,Sri Lanka,0,5,5,0,0
2019,DOM,NIC,Dominican Republic,Nicaragua,0,5,5,0,0
2019,DOM,USA,Dominican Republic,United States of America,0,5,5,0,0
2019,DOM,VEN,Dominican Republic,Venezuela,0,246,246,0,0
2020,DOM,AFG,Dominican Republic,Afghanistan,0,8,8,0,0
2020,DOM,COL,Dominican Republic,Colombia,0,5,5,0,0
2020,DOM,CUB,Dominican Republic,Cuba,0,49,49,0,0
2020,DOM,HTI,Dominican Republic,Haiti,162,273,435,0,0
2020,DOM,HND,Dominican Republic,Honduras,0,5,5,0,0
2020,DOM,LKA,Dominican Republic,Sri Lanka,0,5,5,0,0
2020,DOM,NIC,Dominican Republic,Nicaragua,0,5,5,0,0
2020,DOM,VEN,Dominican Republic,Venezuela,0,275,275,0,0
2021,DOM,AFG,Dominican Republic,Afghanistan,0,8,8,0,0
2021,DOM,COL,Dominican Republic,Colombia,0,5,5,0,0
2021,DOM,CUB,Dominican Republic,Cuba,0,51,51,0,0
2021,DOM,HTI,Dominican Republic,Haiti,162,285,447,0,0
2021,DOM,HND,Dominican Republic,Honduras,0,5,5,0,0
2021,DOM,LKA,Dominican Republic,Sri Lanka,0,5,5,0,0
2021,DOM,NIC,Dominican Republic,Nicaragua,0,5,5,0,0
2021,DOM,VEN,Dominican Republic,Venezuela,0,278,278,0,0
2024,DOM,AFG,Dominican Republic,Afghanistan,0,9,9,0,0
2024,DOM,COL,Dominican Republic,Colombia,0,20,20,0,0
2024,DOM,CUB,Dominican Republic,Cuba,8,123,131,0,0
2024,DOM,ECU,Dominican Republic,Ecuador,0,5,5,0,0
2024,DOM,HTI,Dominican Republic,Haiti,0,522,522,0,0
2024,DOM,HND,Dominican Republic,Honduras,0,5,5,0,0
2024,DOM,IRN,Dominican Republic,Iran (Islamic Rep. of),0,7,7,0,0
2024,DOM,NIC,Dominican Republic,Nicaragua,0,5,5,0,0
2024,DOM,NGA,Dominican Republic,Nigeria,0,18,18,0,0
2024,DOM,RUS,Dominican Republic,Russian Federation,5,28,33,0,0
2024,DOM,SYR,Dominican Republic,Syrian Arab Rep.,0,5,5,0,0
2024,DOM,UNK,Dominican Republic,Unknown ,0,5,5,0,0
2024,DOM,UKR,Dominican Republic,Ukraine,5,28,33,0,0
2024,DOM,VEN,Dominican Republic,Venezuela,0,206,206,0,0
2023,DOM,AFG,Dominican Republic,Afghanistan,7,13,20,0,0
2023,DOM,COL,Dominican Republic,Colombia,0,24,24,0,0
2023,DOM,CUB,Dominican Republic,Cuba,31,154,185,0,0
2023,DOM,ECU,Dominican Republic,Ecuador,0,17,17,0,0
2023,DOM,HTI,Dominican Republic,Haiti,530,1759,2289,0,0
2023,DOM,HND,Dominican Republic,Honduras,0,10,10,0,0
2023,DOM,IRN,Dominican Republic,Iran (Islamic Rep. of),5,0,5,0,0
2023,DOM,LKA,Dominican Republic,Sri Lanka,0,5,5,0,0
2023,DOM,NIC,Dominican Republic,Nicaragua,5,6,11,0,0
2023,DOM,NGA,Dominican Republic,Nigeria,5,10,15,0,0
2023,DOM,RUS,Dominican Republic,Russian Federation,5,12,17,0,0
2023,DOM,SYR,Dominican Republic,Syrian Arab Rep.,0,5,5,0,0
2023,DOM,UNK,Dominican Republic,Unknown ,0,42,42,0,0
2023,DOM,UKR,Dominican Republic,Ukraine,6,12,18,0,0
2023,DOM,VEN,Dominican Republic,Venezuela,184,2116,2300,0,0
2022,DOM,AFG,Dominican Republic,Afghanistan,0,8,8,0,0
2022,DOM,COL,Dominican Republic,Colombia,0,12,12,0,0
2022,DOM,CUB,Dominican Republic,Cuba,6,115,121,0,0
2022,DOM,ECU,Dominican Republic,Ecuador,0,5,5,0,0
2022,DOM,HTI,Dominican Republic,Haiti,344,607,951,0,0
2022,DOM,HND,Dominican Republic,Honduras,0,5,5,0,0
2022,DOM,LKA,Dominican Republic,Sri Lanka,0,5,5,0,0
2022,DOM,NIC,Dominican Republic,Nicaragua,0,6,6,0,0
2022,DOM,RUS,Dominican Republic,Russian Federation,0,9,9,0,0
2022,DOM,SYR,Dominican Republic,Syrian Arab Rep.,5,0,5,0,0
2022,DOM,UNK,Dominican Republic,Unknown ,0,19,19,0,0
2022,DOM,UKR,Dominican Republic,Ukraine,0,14,14,0,0
2022,DOM,VEN,Dominican Republic,Venezuela,191,1370,1561,0,0
2019,GTM,COL,Guatemala,Colombia,8,8,16,0,0
2019,GTM,CUB,Guatemala,Cuba,0,39,39,0,0
2019,GTM,HND,Guatemala,Honduras,42,147,189,0,0
2019,GTM,MEX,Guatemala,Mexico,0,5,5,0,0
2019,GTM,NIC,Guatemala,Nicaragua,100,203,303,0,0
2019,GTM,RUS,Guatemala,Russian Federation,5,0,5,0,0
2019,GTM,SLV,Guatemala,El Salvador,230,175,405,0,0
2019,GTM,UNK,Guatemala,Unknown ,0,0,0,0,0
